label,class,channel1,channel1,channel1,channel1,channel1,channel1,channel2,channel2,channel2,channel2,channel2,channel2,channel3,channel3,channel3,channel3,channel3,channel3,channel4,channel4,channel4,channel4,channel4,channel4,channel5,channel5,channel5,channel5,channel5,channel5,channel6,channel6,channel6,channel6,channel6,channel6,channel7,channel7,channel7,channel7,channel7,channel7,channel8,channel8,channel8,channel8,channel8,channel8
,,min,max,rms,SSI,abs_diffs_signal,ptp,min,max,rms,SSI,abs_diffs_signal,ptp,min,max,rms,SSI,abs_diffs_signal,ptp,min,max,rms,SSI,abs_diffs_signal,ptp,min,max,rms,SSI,abs_diffs_signal,ptp,min,max,rms,SSI,abs_diffs_signal,ptp,min,max,rms,SSI,abs_diffs_signal,ptp,min,max,rms,SSI,abs_diffs_signal,ptp
1,1,-5e-05,4e-05,1.6706695195082906e-05,2.0406000000000004e-06,0.010700000000000001,9e-05,-0.0001,7e-05,2.7065223630840367e-05,5.355500000000001e-06,0.02031,0.00017,-0.00014,0.00016,3.6757140837450454e-05,9.8778e-06,0.029490000000000002,0.00030000000000000003,-9e-05,9e-05,2.2943675719147195e-05,3.848600000000001e-06,0.0168,0.00018,-5e-05,2e-05,1.6233742643606697e-05,1.9267000000000005e-06,0.010700000000000001,7.000000000000001e-05,-6e-05,5e-05,1.5325760977129865e-05,1.7172000000000003e-06,0.00859,0.00011,-4e-05,2e-05,1.3242578563843391e-05,1.2821000000000004e-06,0.0087,6.000000000000001e-05,-5e-05,2e-05,1.384746021074137e-05,1.4019000000000003e-06,0.00921,7.000000000000001e-05
1,2,-0.00111,0.00095,0.00021020151114230858,0.00030072089999999996,0.16819,0.00206,-0.00047,0.00041,0.00011680793400689179,9.28617e-05,0.0903,0.0008799999999999999,-0.00067,0.00055,0.0001948817992082651,0.00025848449999999997,0.15709,0.0012200000000000002,-0.00072,0.00044,0.00015257150282213888,0.0001584305,0.11642000000000001,0.00116,-0.00055,0.00051,0.00015214312863147606,0.00015754210000000002,0.11662,0.0010600000000000002,-0.00063,0.00087,0.00018499505596557934,0.0002329229,0.13684,0.0015,-0.00076,0.00077,0.00021616708908292256,0.0003180322,0.16251,0.0015300000000000001,-0.0007,0.00054,0.0001497978361432326,0.0001527225,0.11696000000000001,0.00124
1,3,-0.00087,0.00112,0.0001883151268040265,0.0002599053,0.14544,0.00199,-0.00113,0.00127,0.0002594688730016756,0.0004934183,0.19932,0.0024000000000000002,-0.00027,0.00025,7.338268474221602e-05,3.9466800000000006e-05,0.06148,0.0005200000000000001,-0.0002,0.00026,6.251341785290904e-05,2.86412e-05,0.051919999999999994,0.00046,-0.00055,0.00058,0.00014689690619826192,0.00015815030000000002,0.11603,0.00113,-0.00044,0.00031,9.182969043451771e-05,6.18032e-05,0.07351,0.00075,-0.00035,0.00028,7.751231751727435e-05,4.40338e-05,0.058660000000000004,0.0006299999999999999,-0.00073,0.00051,0.0001611864185853233,0.0001904152,0.11869,0.00124
1,4,-0.0002,0.00016,5.619257522097437e-05,2.15475e-05,0.03609,0.00036,-0.00038,0.00024,8.177839053359421e-05,4.5636900000000003e-05,0.05929,0.00062,-0.00079,0.00044,0.00012476319891317265,0.0001062214,0.08906,0.00123,-0.00077,0.00083,0.00023675763226579575,0.00038251370000000004,0.16572,0.0015999999999999999,-0.00116,0.00115,0.00037262322210330335,0.0009474992,0.24711,0.00231,-0.00095,0.00073,0.00025936687387516166,0.0004590585000000001,0.15944999999999998,0.00168,-0.00047,0.00043,0.00011812413741722182,9.521740000000001e-05,0.07517,0.0009,-0.00032,0.00026,8.305221242252752e-05,4.70697e-05,0.04984,0.00058
1,5,-0.00031,0.00061,6.556673292479306e-05,3.04154e-05,0.04939,0.00092,-0.00066,0.00035,0.00012473446000351097,0.0001100777,0.10169999999999998,0.00101,-0.00073,0.00069,0.0002021011187272652,0.00028897739999999997,0.15913,0.0014199999999999998,-0.00112,0.00119,0.00027888493264016727,0.0005502709,0.22977000000000003,0.00231,-0.00119,0.00127,0.00028189369722841185,0.0005622082,0.23498000000000002,0.0024600000000000004,-0.00052,0.00064,0.00016722947142496774,0.0001978573,0.14068999999999998,0.00116,-0.00025,0.0003,8.359916140719228e-05,4.94459e-05,0.06767999999999999,0.0005499999999999999,-0.0003,0.00045,5.995003809121266e-05,2.5427600000000004e-05,0.046060000000000004,0.00075
1,6,-0.00077,0.00082,0.000195756715302867,0.0002737247,0.16715000000000002,0.0015899999999999998,-0.00064,0.00074,0.00014621406371807122,0.00015270700000000003,0.12028,0.0013800000000000002,-0.00033,0.00023,7.136368925775336e-05,3.63777e-05,0.059000000000000004,0.00056,-0.00029,0.00026,6.35435696533899e-05,2.88419e-05,0.05455,0.0005499999999999999,-0.00059,0.00075,0.00013312844750964776,0.0001265967,0.10701999999999999,0.00134,-0.00065,0.0008,0.00014916957118923572,0.0001589429,0.11613000000000001,0.00145,-0.00069,0.00052,0.00013043224964925292,0.0001215208,0.09995000000000001,0.00121,-0.00102,0.0006,0.00021303977159467928,0.0003241918,0.17321,0.00162
2,1,-7e-05,3e-05,1.6170918323947545e-05,1.8671000000000005e-06,0.012310000000000001,9.999999999999999e-05,-0.0001,6e-05,2.386851236153854e-05,4.0677e-06,0.01978,0.00016,-0.00018,0.00021,4.356520596609596e-05,1.35512e-05,0.0392,0.00039000000000000005,-0.00016,0.00026,4.1868474866838864e-05,1.2516200000000002e-05,0.034460000000000005,0.00042,-0.00034,0.00032,6.889575204510039e-05,3.38909e-05,0.051430000000000003,0.00066,-0.00017,0.00049,3.8485509659890654e-05,1.0575300000000002e-05,0.027790000000000002,0.00066,-6e-05,6e-05,1.7058147383489952e-05,2.0776000000000002e-06,0.013070000000000002,0.00012,-5e-05,4e-05,1.5134781949201315e-05,1.6355000000000005e-06,0.01048,9e-05
2,2,-0.00038,0.00053,4.133542527085617e-05,1.15793e-05,0.02388,0.00091,-0.00021,0.00013,4.251239956607853e-05,1.2248100000000002e-05,0.035320000000000004,0.00034,-0.00055,0.00042,0.0001247081290698466,0.00010539669999999999,0.10343000000000001,0.00097,-0.00052,0.00062,0.0001745419604899316,0.0002064606,0.14315,0.00114,-0.0005,0.00055,0.00011954897780220257,9.685660000000001e-05,0.09657,0.0010500000000000002,-0.00121,0.00105,0.00029706271965161966,0.0005980448999999999,0.24925000000000003,0.00226,-0.0003,0.00038,7.409729236233038e-05,3.72085e-05,0.06467,0.00068,-0.00022,0.00022,4.700346434383e-05,1.4972600000000003e-05,0.03647,0.00044
2,3,-0.00128,0.00127,0.0003873347232317073,0.0010224421,0.33717,0.00255,-0.00068,0.00052,9.977899275624588e-05,6.784910000000001e-05,0.08107,0.0012000000000000001,-0.00022,0.00011,3.86587303482022e-05,1.0185000000000002e-05,0.030610000000000002,0.00033,-0.00017,0.00023,4.611526596423709e-05,1.4492900000000001e-05,0.03769,0.0004,-0.00024,0.00033,7.543836187029071e-05,3.87838e-05,0.06162000000000001,0.00057,-0.00051,0.00041,9.354476802236402e-05,5.96355e-05,0.07761,0.00092,-0.00087,0.00122,0.00026478557611889626,0.0004778092,0.21234,0.00209,-0.00115,0.00101,0.0002373777632687951,0.000384013,0.18226000000000003,0.00216
